"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NZ_VUJE01000014.1","SAMN12688777","Salmonella enterica subsp. enterica serovar Muenchen",NA,"159747",NA,NA,"animal",NA,NA,"Israel","2015-04-21",NA,"31.0461 N 34.8516 E",2015,"plasmid",NA
"NZ_VUJJ01000019.1","SAMN12688782","Salmonella enterica subsp. enterica serovar Orion",NA,"161378",NA,NA,"animal",NA,NA,"Israel","2015-07-09",NA,"31.0461 N 34.8516 E",2015,"plasmid",NA
"NZ_VUJK01000019.1","SAMN12688783","Salmonella enterica subsp. enterica serovar Muenchen",NA,"161403",NA,NA,"animal",NA,NA,"Israel","2015-07-19",NA,"31.0461 N 34.8516 E",2015,"plasmid",NA
"NZ_VUJM01000024.1","SAMN12688785","Salmonella enterica subsp. enterica serovar Java",NA,"162829",NA,NA,"animal",NA,NA,"Israel","2015-10-25",NA,"31.0461 N 34.8516 E",2015,"plasmid",NA
"NZ_CP043664.1","SAMN12688791","Salmonella enterica subsp. enterica serovar Kentucky",NA,"161365",NA,NA,"animal",NA,NA,"Israel","2015-07-01",NA,"31.0461 N 34.8516 E",2015,"chromosome",NA
"NZ_CP043667.1","SAMN12688792","Salmonella enterica subsp. enterica serovar Kentucky",NA,"162835",NA,NA,"animal",NA,NA,"Israel","2015-10-27",NA,"31.0461 N 34.8516 E",2015,"chromosome",NA
"NZ_CP043767.1","SAMN12713636","Enterobacter hormaechei",NA,"EB_P9_L5_03.19","Homo sapiens",NA,"rectal swab",NA,"hospital in London","United Kingdom:London","2019-03",NA,NA,2019,"plasmid",NA
"NZ_CP043969.1","SAMN12714885","Klebsiella pneumoniae",NA,"D1","Homo sapiens",NA,NA,NA,NA,"France","2015-08-30",NA,NA,2015,"chromosome",NA
"NZ_CP043971.1","SAMN12714885","Klebsiella pneumoniae",NA,"D1","Homo sapiens",NA,NA,NA,NA,"France","2015-08-30",NA,NA,2015,"plasmid",NA
"NZ_CP050455.1","SAMN12715042","Klebsiella pneumoniae",NA,"NMI4661_17","Homo sapiens",NA,"BAL",NA,"National Medicines Institute","Poland: Cracow","2017-06-08",NA,"50.03 N 19.56 E",2017,"chromosome",NA
"NZ_CP050457.1","SAMN12715042","Klebsiella pneumoniae",NA,"NMI4661_17","Homo sapiens",NA,"BAL",NA,"National Medicines Institute","Poland: Cracow","2017-06-08",NA,"50.03 N 19.56 E",2017,"plasmid",NA
"NZ_CM018323.1","SAMN12721656","Klebsiella pneumoniae subsp. pneumoniae",NA,"BKP19","Homo sapiens",NA,"blood",NA,"Fang He","China:Hangzhou","2019-03-09",NA,"missing",2019,"plasmid",NA
"NZ_CM018324.1","SAMN12721656","Klebsiella pneumoniae subsp. pneumoniae",NA,"BKP19","Homo sapiens",NA,"blood",NA,"Fang He","China:Hangzhou","2019-03-09",NA,"missing",2019,"plasmid",NA
"NZ_CP043856.1","SAMN12725416","Enterobacter hormaechei",NA,"EB_P6_L3_02.19","Homo sapiens",NA,"rectal screen",NA,NA,"United Kingdom: London","2019-02-27",NA,NA,2019,"plasmid",NA
"NZ_CP045048.1","SAMN12725417","Campylobacter jejuni subsp. jejuni",NA,"NADC 20827",NA,NA,"Meleagris gallopavo",NA,"USDA","USA: Iowa","2005",NA,"42.3125 N 93.5788 W",2005,"chromosome",NA
"NZ_CP043947.1","SAMN12736389","Escherichia coli",NA,"AR202.2","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2018-06-20",NA,NA,2018,"plasmid",NA
"NZ_CP043948.1","SAMN12736389","Escherichia coli",NA,"AR202.2","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2018-06-20",NA,NA,2018,"plasmid",NA
"NZ_CP043949.1","SAMN12736389","Escherichia coli",NA,"AR202.2","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2018-06-20",NA,NA,2018,"plasmid",NA
"NZ_CP043943.1","SAMN12736390","Escherichia coli",NA,"AR216.2b","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2017-07-18",NA,NA,2017,"plasmid",NA
"NZ_CP043944.1","SAMN12736390","Escherichia coli",NA,"AR216.2b","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2017-07-18",NA,NA,2017,"plasmid",NA
"NZ_CP043945.1","SAMN12736390","Escherichia coli",NA,"AR216.2b","dog",NA,"Rectal swab",NA,NA,"Switzerland:Zurich","2017-07-18",NA,NA,2017,"plasmid",NA
"NZ_VXIY01000008.1","SAMN12738926","Klebsiella pneumoniae",NA,"Kp29","Homo sapiens",NA,"swab",NA,"NHLS","South Africa: Gauteng","2018",NA,"25.7303 S 28.2044 E",2018,"plasmid",NA
"NZ_VXIW01000004.1","SAMN12738928","Klebsiella pneumoniae",NA,"Kp33","Homo sapiens",NA,"urine",NA,"NHLS","South Africa: Gauteng","2018",NA,"25.7362 S 28.1997 E",2018,"plasmid",NA
"NZ_VXIW01000008.1","SAMN12738928","Klebsiella pneumoniae",NA,"Kp33","Homo sapiens",NA,"urine",NA,"NHLS","South Africa: Gauteng","2018",NA,"25.7362 S 28.1997 E",2018,"plasmid",NA
"NZ_CP043932.1","SAMN12741260","Klebsiella pneumoniae",NA,"555","chicken",NA,NA,NA,NA,"China","2018-09",NA,NA,2018,"chromosome",NA
"NZ_CP043935.1","SAMN12741260","Klebsiella pneumoniae",NA,"555","chicken",NA,NA,NA,NA,"China","2018-09",NA,NA,2018,"plasmid",NA
"NZ_CP043936.1","SAMN12741260","Klebsiella pneumoniae",NA,"555","chicken",NA,NA,NA,NA,"China","2018-09",NA,NA,2018,"plasmid",NA
"NZ_CP043927.1","SAMN12744724","Klebsiella quasipneumoniae subsp. quasipneumoniae",NA,"M17277","Homo sapiens",NA,"rectal swab",NA,"Hospital de Ninos Dr. Ricardo Gutierrez","Argentina","2014",NA,"34.594590 S 58.411377 W",2014,"plasmid",NA
"NZ_CP043951.1","SAMN12757101","Escherichia coli",NA,"ST95-32","chicken",NA,NA,NA,NA,"China:Nanjing","2017-01-01",NA,NA,2017,"plasmid",NA
"NZ_CP043953.1","SAMN12769618","Acinetobacter baumannii",NA,"K09-14",NA,NA,"soil",NA,"Microbial Repository, NTU","Malaysia","2017-12-10",NA,"2.500593 N 102.093880 E",2017,"chromosome",NA
"NZ_CP043954.1","SAMN12769618","Acinetobacter baumannii",NA,"K09-14",NA,NA,"soil",NA,"Microbial Repository, NTU","Malaysia","2017-12-10",NA,"2.500593 N 102.093880 E",2017,"plasmid",NA
"NZ_CP043955.1","SAMN12769847","Morganella morganii subsp. morganii",NA,"229813","Homo sapiens",NA,"blood",NA,"missing","China: Nanjing","2017",NA,"32 N 118 E",2017,"chromosome",NA
"NZ_CP044028.1","SAMN12770272","Proteus mirabilis",NA,"K817","Homo sapiens",NA,NA,NA,NA,"Poland: Kielce","2002",NA,NA,2002,"chromosome",NA
"NZ_CP044294.1","SAMN12789775","Escherichia coli",NA,"P276M",NA,NA,"Healthy human (stool)",NA,"Institut Pasteur du Cambodge","Cambodia","2015",NA,"11.5564 N 104.9282 E",2015,"plasmid",NA
"NZ_CP044215.1","SAMN12807522","Klebsiella aerogenes",NA,"KA_P10_L5_03.19","Homo sapiens",NA,"rectal swab",NA,"London hospital","United Kingdom:London","2019-03",NA,NA,2019,"plasmid",NA
"NZ_CP044258.1","SAMN12813532","Klebsiella pneumoniae",NA,"KP65","Homo sapiens",NA,"urine",NA,"Fang He","China:Hangzhou","2018-05-18",NA,"missing",2018,"chromosome",NA
"NZ_CP044259.1","SAMN12813532","Klebsiella pneumoniae",NA,"KP65","Homo sapiens",NA,"urine",NA,"Fang He","China:Hangzhou","2018-05-18",NA,"missing",2018,"plasmid",NA
"NZ_CP044533.1","SAMN12815552","Pseudomonas aeruginosa",NA,"Ps33","Homo sapiens",NA,"sepsis/hemoculture",NA,NA,"Mexico:Mexico City, Instituto Nacional de Pediatria","2006",NA,NA,2006,"chromosome",NA
"NZ_CP044356.1","SAMN12825295","Acinetobacter baumannii",NA,"CAM180-1","Homo sapiens",NA,"oral cavity",NA,"Yong-Hak Kim","Cambodia: Battambang","2016-01-13",NA,"13.06 N 103.12 E",2016,"chromosome",NA
"NZ_CP044402.1","SAMN12838293","Escherichia coli",NA,"NMBU-W10C18",NA,NA,"surface water",NA,"Hedvig Skaflem","Norway:Aas","2018-02",NA,"59.667 N 10.767 E",2018,"plasmid",NA
"NZ_CP044404.1","SAMN12838293","Escherichia coli",NA,"NMBU-W10C18",NA,NA,"surface water",NA,"Hedvig Skaflem","Norway:Aas","2018-02",NA,"59.667 N 10.767 E",2018,"plasmid",NA
"NZ_CP044519.1","SAMN12859885","Acinetobacter baumannii",NA,"29FS20","duck",NA,"feces",NA,"Chong Chen","China:Guangdong","2017-06",NA,"23.02 N 113.12 E",2017,"chromosome",NA
"NZ_CP044520.1","SAMN12859885","Acinetobacter baumannii",NA,"29FS20","duck",NA,"feces",NA,"Chong Chen","China:Guangdong","2017-06",NA,"23.02 N 113.12 E",2017,"plasmid",NA
"NZ_CP044436.1","SAMN12859940","Proteus mirabilis",NA,"C55",NA,NA,"chicken",NA,"Chang-Wei Lei","China: Shandong","2018-11-13",NA,"36.43 N 120.57 E",2018,"chromosome",NA
"NZ_CP044437.1","SAMN12859943","Proteus mirabilis",NA,"C74",NA,NA,"chicken",NA,"Chang-Wei Lei","China: Shangdong","2018-11-13",NA,"36.43 N 120.57 E",2018,"chromosome",NA
"NZ_CP044517.1","SAMN12860376","Acinetobacter baumannii",NA,"31FS3-2","duck",NA,"feces",NA,"Chong Chen","China:Guangdong","2017-06",NA,"23.02 N 113.12 E",2017,"chromosome",NA
"NZ_CP045674.1","SAMN12877715","Klebsiella pneumoniae",NA,"WSD411","Homo sapiens",NA,"rectum",NA,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine (Hangzhou, China)","China","2018-08-26",NA,"30.26 N 120.20 E",2018,"chromosome",NA
"NZ_CP045676.1","SAMN12877715","Klebsiella pneumoniae",NA,"WSD411","Homo sapiens",NA,"rectum",NA,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine (Hangzhou, China)","China","2018-08-26",NA,"30.26 N 120.20 E",2018,"plasmid",NA
"NZ_CP045680.1","SAMN12877715","Klebsiella pneumoniae",NA,"WSD411","Homo sapiens",NA,"rectum",NA,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine (Hangzhou, China)","China","2018-08-26",NA,"30.26 N 120.20 E",2018,"plasmid",NA
"NZ_CP045193.1","SAMN12877722","Klebsiella pneumoniae",NA,"YML0508","Homo sapiens",NA,"rectum",NA,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine (Hangzhou, China)","China","2018-05-08",NA,"30.26 N 120.20 E",2018,"chromosome",NA
"NZ_CP045195.1","SAMN12877722","Klebsiella pneumoniae",NA,"YML0508","Homo sapiens",NA,"rectum",NA,"Sir Run Run Shaw Hospital, Zhejiang University School of Medicine (Hangzhou, China)","China","2018-05-08",NA,"30.26 N 120.20 E",2018,"plasmid",NA
"NZ_CP045002.1","SAMN12911489","Pseudomonas aeruginosa",NA,"PAG5","Homo sapiens",NA,NA,NA,NA,"China:Shaanxi","2016-07",NA,NA,2016,"chromosome",NA
"NZ_CP045003.1","SAMN12911489","Pseudomonas aeruginosa",NA,"PAG5","Homo sapiens",NA,NA,NA,NA,"China:Shaanxi","2016-07",NA,NA,2016,"plasmid",NA
"NZ_CP045428.1","SAMN12912378","Acinetobacter baumannii",NA,"AbCAN2","Homo sapiens",NA,"Coccygeal isolate",NA,"University of Alberta Hospital","Canada: Edmonton","2015",NA,"53.520455 N 113.523145 W",2015,"chromosome",NA
"NZ_CP045038.1","SAMN12916230","Salmonella enterica subsp. enterica serovar Muenster",NA,"PJM1",NA,NA,"missing",NA,"National Risk Assessment Laboratory for Antimicrobial Resistance of Animal Original Bacteria","China: Guang Dong","2017-09",NA,"not collected",2017,"chromosome",NA
"NZ_CP045015.1","SAMN12984737","Klebsiella pneumoniae subsp. pneumoniae",NA,"BK13048","Homo sapiens",NA,"not applicable",NA,"CDI","not applicable","2003",NA,"not applicable",2003,"chromosome",NA
"NZ_CP045016.1","SAMN12984737","Klebsiella pneumoniae subsp. pneumoniae",NA,"BK13048","Homo sapiens",NA,"not applicable",NA,"CDI","not applicable","2003",NA,"not applicable",2003,"plasmid",NA
"NZ_CP045022.1","SAMN12984737","Klebsiella pneumoniae subsp. pneumoniae",NA,"BK13048","Homo sapiens",NA,"not applicable",NA,"CDI","not applicable","2003",NA,"not applicable",2003,"plasmid",NA
"NZ_CP049753.1","SAMN12995602","Proteus mirabilis",NA,"PmBR607","Homo sapiens",NA,"urine",NA,"Mario C. Noronha do Amaral","Brazil","2015",NA,"23.556174 S 46.627129 W",2015,"chromosome",NA
"NZ_CP045188.1","SAMN12996975","Escherichia coli",NA,"NT1F31",NA,NA,"pig manure",NA,"Yangzhou University","China: NanTong","2018-05",NA,"32.01 N 120.86 E",2018,"plasmid",NA
"NZ_CP045136.1","SAMN13016659","Acinetobacter indicus",NA,"XG01","Cows",NA,"cow feces",NA,"Tao He","China: Jiangsu","2017-05-21",NA,"not collected",2017,"plasmid",NA
"NZ_CP045128.1","SAMN13016714","Acinetobacter indicus",NA,"XG03","cow",NA,"cow feces",NA,"Tao He","China: Jiangsu","2017-05-21",NA,"not collected",2017,"plasmid",NA
"NZ_CP045132.1","SAMN13017013","Acinetobacter indicus",NA,"TQ18","cow",NA,"cow feces",NA,"Tao He","China: Jiangsu","2017-05-21",NA,"not collected",2017,"plasmid",NA
"NZ_CP045278.1","SAMN13021417","Escherichia coli",NA,"LAU-OXA","Homo sapiens",NA,NA,NA,NA,"Lebanon","2017-12",NA,NA,2017,"plasmid",NA
"NZ_CP045282.1","SAMN13021417","Escherichia coli",NA,"LAU-OXA","Homo sapiens",NA,NA,NA,NA,"Lebanon","2017-12",NA,NA,2017,"plasmid",NA
"NZ_CP045611.1","SAMN13022768","Enterobacter hormaechei",NA,"AUH-ENM30","Homo sapiens",NA,NA,NA,NA,"Lebanon","2016",NA,NA,2016,"chromosome",NA
"NZ_CP048009.1","SAMN13031455","Escherichia coli",NA,"RUT3575","Homo sapiens",NA,"Rectal swab of patient hospitalized for an unrelated disease",NA,"Vall d'Hebron University Hospital","Spain: Barcelona","2018-11",NA,"41.43 N 2.14 E",2018,"plasmid",NA
"NZ_CP048010.1","SAMN13031455","Escherichia coli",NA,"RUT3575","Homo sapiens",NA,"Rectal swab of patient hospitalized for an unrelated disease",NA,"Vall d'Hebron University Hospital","Spain: Barcelona","2018-11",NA,"41.43 N 2.14 E",2018,"chromosome",NA
"NZ_CP048011.1","SAMN13031455","Escherichia coli",NA,"RUT3575","Homo sapiens",NA,"Rectal swab of patient hospitalized for an unrelated disease",NA,"Vall d'Hebron University Hospital","Spain: Barcelona","2018-11",NA,"41.43 N 2.14 E",2018,"plasmid",NA
"NZ_CP048012.1","SAMN13031455","Escherichia coli",NA,"RUT3575","Homo sapiens",NA,"Rectal swab of patient hospitalized for an unrelated disease",NA,"Vall d'Hebron University Hospital","Spain: Barcelona","2018-11",NA,"41.43 N 2.14 E",2018,"plasmid",NA
"NZ_CP048915.1","SAMN13031456","Escherichia coli",NA,"E2","Homo sapiens",NA,"ascitic fluid",NA,"Theodor Bilharz Research Institut","Egypt:Giza","2015",NA,"30.094190 N 31.224056 E",2015,"chromosome",NA
"NZ_CP048916.1","SAMN13031456","Escherichia coli",NA,"E2","Homo sapiens",NA,"ascitic fluid",NA,"Theodor Bilharz Research Institut","Egypt:Giza","2015",NA,"30.094190 N 31.224056 E",2015,"plasmid",NA
"NZ_CP048918.1","SAMN13031456","Escherichia coli",NA,"E2","Homo sapiens",NA,"ascitic fluid",NA,"Theodor Bilharz Research Institut","Egypt:Giza","2015",NA,"30.094190 N 31.224056 E",2015,"plasmid",NA
"NZ_CP045446.1","SAMN13031563","Salmonella enterica subsp. enterica serovar Schwarzengrund",NA,"9355","poultry",NA,"cloacal swabs",NA,"JCF","Brazil","2013",NA,"23.5475 S 46.63611 W",2013,"plasmid",NA
"NZ_CP045449.1","SAMN13031564","Salmonella enterica subsp. enterica serovar Schwarzengrund",NA,"12888","poultry",NA,"cloacal swabs",NA,"JCF","Brazil","2013",NA,"23.5475 S 46.63611 W",2013,"plasmid",NA
"NZ_CP045256.1","SAMN13037561","Proteus mirabilis",NA,"L90-1","Homosapiens",NA,"stool",NA,"Tao Lv","China:Hangzhou","2016-05-17",NA,"30.3 N 120.2 E",2016,"plasmid",NA
"NZ_CP045257.1","SAMN13037561","Proteus mirabilis",NA,"L90-1","Homosapiens",NA,"stool",NA,"Tao Lv","China:Hangzhou","2016-05-17",NA,"30.3 N 120.2 E",2016,"chromosome",NA
"NZ_CP046654.1","SAMN13045090","Acinetobacter baumannii",NA,"ATCC 19606","Homo sapiens",NA,"missing",NA,"Yan Zhu","Australia:Melbourne","2017-11",NA,NA,2017,"chromosome",NA
"NZ_CP045561.1","SAMN13066419","Acinetobacter nosocomialis",NA,"AC1530","Homo sapiens",NA,"blood",NA,"UniSZA","Malaysia","2015",NA,"5.325464 N 103.151674 E",2015,"plasmid",NA
"NZ_CP045724.1","SAMN13069870","Pasteurella multocida",NA,"PM22","Beef cattle",NA,"bovine lung affected by bovine respiratory disease",NA,NA,"USA: Texas","2011-11-28",NA,NA,2011,"chromosome",NA
"NZ_CP045511.1","SAMN13074762","Salmonella enterica subsp. enterica serovar Anatum",NA,"M-5360",NA,NA,"meat",NA,"Chang Gung Memorial Hospital","Taiwan: Linkou","2017-08-03",NA,"24.91 N 121.30 E",2017,"plasmid",NA
"NZ_CP045514.1","SAMN13074785","Salmonella enterica subsp. enterica serovar Anatum",NA,"Sal-3948","Homo sapiens",NA,"clinical",NA,"Chang Gung Memorial Hospital","Taiwan: Linkou","2016-09-06",NA,"24.91 N 121.30 E",2016,"plasmid",NA
"NZ_CP045467.1","SAMN13074786","Salmonella enterica subsp. enterica serovar Anatum",NA,"Sal-3973","Homo sapiens",NA,"clinical",NA,"Chang Gung Memorial Hospital","Taiwan: Linkou","2016-09-15",NA,"24.91 N 121.30 E",2016,"plasmid",NA
"NZ_CP045519.1","SAMN13074811","Salmonella enterica subsp. enterica serovar Anatum",NA,"Sal-5091","Homo sapiens",NA,"clinical",NA,"Chang Gung Memorial Hospital","Taiwan: Linkou","2017-11-24",NA,"24.91 N 121.30 E",2017,"plasmid",NA
"NZ_CP045540.1","SAMN13082492","Proteus mirabilis",NA,"CRE14IB","Homo sapiens",NA,"urine catheter",NA,"S. Angelo Lodigiano hospital","Italy: Lodi","2019-04-03",NA,"45.30 N 9.50 E",2019,"plasmid",NA
"NZ_CP045551.1","SAMN13107355","Pseudomonas putida",NA,"NY5709","Homo sapiens",NA,"urine",NA,"a teaching hospital","China: Hunan","2015",NA,"28 N 113 E",2015,"chromosome",NA
"NZ_CP045552.2","SAMN13107356","Pseudomonas aeruginosa",NA,"YT12746","Homo sapiens",NA,"blood",NA,"a teaching hospital","China: Hunan","2012",NA,"28 N 113 E",2012,"chromosome",NA
"NZ_CP045661.1","SAMN13135504","Klebsiella pneumoniae",NA,"SMU18037509","Homo sapiens",NA,"blood from patient with community-acquired emphysematous osteomyelitis",NA,NA,"Japan","2018-03",NA,NA,2018,"chromosome",NA
"NZ_CP045726.1","SAMN13140889","Citrobacter freundii",NA,"zone4","grass",NA,"grass from the park in a vetenary clinic",NA,NA,"Switzerland:Bern","2019-08",NA,NA,2019,"chromosome",NA
"NZ_CP045727.1","SAMN13140889","Citrobacter freundii",NA,"zone4","grass",NA,"grass from the park in a vetenary clinic",NA,NA,"Switzerland:Bern","2019-08",NA,NA,2019,"plasmid",NA
"NZ_CP045709.1","SAMN13151449","Neisseria gonorrhoeae",NA,"NG250","Homo sapiens",NA,"Penile discharge",NA,"Faculty of Medicine Siriraj Hospital, Mahidol University","Thailand: Bangkok","2010-07-20",NA,"13.757925 N 100.485849 E",2010,"plasmid",NA
"NZ_CP062986.1","SAMN13153735","Klebsiella pneumoniae",NA,"CriePir26","Homo sapiens",NA,"traumatic discharge",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP062987.1","SAMN13153735","Klebsiella pneumoniae",NA,"CriePir26","Homo sapiens",NA,"traumatic discharge",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP062988.1","SAMN13153735","Klebsiella pneumoniae",NA,"CriePir26","Homo sapiens",NA,"traumatic discharge",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP063023.1","SAMN13153738","Klebsiella pneumoniae",NA,"CriePir45","Homo sapiens",NA,"sputum",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP063019.1","SAMN13153741","Klebsiella pneumoniae",NA,"CriePir75","Homo sapiens",NA,"blood",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP063020.1","SAMN13153741","Klebsiella pneumoniae",NA,"CriePir75","Homo sapiens",NA,"blood",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP063011.1","SAMN13153745","Klebsiella pneumoniae",NA,"CriePir116","Homo sapiens",NA,"blood",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP063012.1","SAMN13153745","Klebsiella pneumoniae",NA,"CriePir116","Homo sapiens",NA,"blood",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP063008.1","SAMN13153746","Klebsiella pneumoniae",NA,"CriePir120","Homo sapiens",NA,"granulation tissue",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP063009.1","SAMN13153746","Klebsiella pneumoniae",NA,"CriePir120","Homo sapiens",NA,"granulation tissue",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP063010.1","SAMN13153746","Klebsiella pneumoniae",NA,"CriePir120","Homo sapiens",NA,"granulation tissue",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"plasmid",NA
"NZ_CP063003.1","SAMN13153753","Klebsiella pneumoniae",NA,"CriePir154","Homo sapiens",NA,"blood",NA,"Pir Nat Surg Centre","Russia: Moscow","2017",NA,"55.76 N 37.62 E",2017,"chromosome",NA
"NZ_CP062997.1","SAMN13153760","Klebsiella pneumoniae",NA,"CriePir197","Homo sapiens",NA,"Gall bladder",NA,"Pir Nat Surg Centre","Russia: Moscow","2018",NA,"55.76 N 37.62 E",2018,"chromosome",NA
"NZ_CP054940.1","SAMN13155204","Escherichia coli",NA,"MS6192","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India:South","2003/2009",NA,"missing",NA,"chromosome",NA
"NZ_CP054941.1","SAMN13155204","Escherichia coli",NA,"MS6192","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India:South","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_CP054942.1","SAMN13155204","Escherichia coli",NA,"MS6192","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India:South","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_CP047405.1","SAMN13155539","Escherichia coli",NA,"MS6193","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India: South","2003/2009",NA,"missing",NA,"chromosome",NA
"NZ_CP047406.1","SAMN13155539","Escherichia coli",NA,"MS6193","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India: South","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_CP047407.1","SAMN13155539","Escherichia coli",NA,"MS6193","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","India: South","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_WUUG01000022.1","SAMN13155541","Escherichia coli",NA,"MS6194","Homo sapiens",NA,"urine",NA,"Timothy R Walsh","India: South","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_JABWHW010000018.1","SAMN13155542","Escherichia coli",NA,"MS6201",NA,NA,"environmental",NA,"Timothy R Walsh","India: New Delhi","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_JABWHX010000017.1","SAMN13155543","Escherichia coli",NA,"MS6203","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","United Kingdom","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_JABWHY010000031.1","SAMN13155545","Escherichia coli",NA,"MS6207","Homo sapiens",NA,"Clinical sample: urine",NA,"Timothy R Walsh","United Kingdom","2003/2009",NA,"missing",NA,"plasmid",NA
"NZ_CP045694.1","SAMN13161584","Klebsiella pneumoniae",NA,"TK421","Homo sapiens",NA,"blood",NA,"unknown","USA:Chicago","2013",NA,"41.89 N 87.62 W",2013,"chromosome",NA
"NZ_CP045742.1","SAMN13175516","Escherichia coli",NA,"DH5alpha","not applicable",NA,"not collected",NA,NA,"not applicable","not applicable",NA,"not collected",NA,"plasmid",NA
"NZ_CP045739.1","SAMN13182580","Pseudomonas aeruginosa",NA,"AG1","Homo sapiens",NA,"Sputum-lungs",NA,"Toval F., Guzman-Marte A., Madriz V., Somogyi T., Rodriguez C., Molina-Mora J.and Garcia F.","Costa Rica","2010",NA,"9.9325427 N 84.0795782 W",2010,"chromosome",NA
"NZ_CP045947.1","SAMN13191648","Salmonella enterica subsp. enterica serovar Typhimurium",NA,"AUSMDU00010530","Homo sapiens",NA,"missing",NA,"missing","Australia","2017",NA,"missing",2017,"chromosome",NA
"NZ_CP046429.1","SAMN13219579","Salmonella enterica subsp. enterica serovar Typhi",NA,"R19.2839","Homo sapiens",NA,"blood",NA,"Centers of Disease Control, Taiwan","India:Pakistan","2019",NA,"not collected",2019,"chromosome",NA
"NZ_CP046430.1","SAMN13219579","Salmonella enterica subsp. enterica serovar Typhi",NA,"R19.2839","Homo sapiens",NA,"blood",NA,"Centers of Disease Control, Taiwan","India:Pakistan","2019",NA,"not collected",2019,"plasmid",NA
"NZ_CP045916.1","SAMN13226654","Pseudomonas aeruginosa",NA,"CF39S","Homo sapiens",NA,"lung",NA,"Jane Burns","USA: Seattle, Washington","1993-03/1996-04",NA,"47.608013 N 122.335167 W",1993,"chromosome",NA
"NZ_CP046044.1","SAMN13242673","Acinetobacter towneri",NA,"19110F47","swine",NA,"feces",NA,"Henan Agricultural University","China:Henan","2019-07-01",NA,"34.73 N 113.70 E",2019,"plasmid",NA
"NZ_CP046004.1","SAMN13242782","Escherichia coli",NA,"1919D3","swine",NA,"feces",NA,NA,"China:Henan","2019-07-01",NA,NA,2019,"plasmid",NA
"NZ_CP046007.1","SAMN13242790","Escherichia coli",NA,"1919D62","swine",NA,"feces",NA,NA,"China:Henan","2019-07-01",NA,NA,2019,"plasmid",NA
"NZ_CP046026.1","SAMN13244673","Escherichia coli",NA,"C439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasmid",NA
"NZ_CP046048.1","SAMN13254340","Proteus mirabilis",NA,"HN2p","Swine",NA,NA,NA,NA,"China:Henan","2019-02",NA,NA,2019,"chromosome",NA
